deltaYaw,deltaPitch,accelYaw,accelPitch,jerkYaw,jerkPitch,label
7.05054,3.05731,-2.05902,-0.87352,-2.1214,-1.31028,1
13.22754,4.05562,6.177,0.99831,8.23602,1.87183,1
32.56976,6.17702,19.34222,2.1214,13.16522,1.12309,1
38.62195,5.74026,6.05219,-0.43675,-13.29004,-2.55815,1
7.98645,-1.49746,-30.6355,-7.23772,-36.68768,-6.80097,1
0.62396,-3.99323,-7.36249,-2.49577,23.27301,4.74196,1
1.24786,-4.55477,0.6239,-0.56155,7.98639,1.93422,1
12.35406,-3.93083,11.1062,0.62394,10.4823,1.18549,1
1.55988,-3.1821,-10.79419,0.74873,-21.90039,0.12479,1
2.18378,-2.93253,0.6239,0.24958,11.41809,-0.49915,1
-3.11969,-2.55816,-5.30347,0.37437,-5.92737,0.12479,1
-1.74701,-1.99661,1.37268,0.56155,6.67615,0.18718,1
-0.62396,-1.24788,1.12305,0.74873,-0.24963,0.18718,1
1.68463,-0.74873,2.30859,0.49915,1.18555,-0.24958,1
4.92914,-0.81112,3.24451,-0.06239,0.93591,-0.56155,1
2.49579,-1.12309,-2.43335,-0.31197,-5.67786,-0.24958,1
-2.74536,-2.05901,-5.24115,-0.93591,-2.8078,-0.62394,1
1.62225,-3.80604,4.36761,-1.74704,9.60876,-0.81112,1
4.55475,-4.36759,2.9325,-0.56155,-1.43512,1.18549,1
1.3103,-2.55816,-3.24445,1.80943,-6.17694,2.37098,1
1.12311,-1.12309,-0.18719,1.43506,3.05725,-0.37436,1
-2.55817,-0.68633,-3.68127,0.43676,-3.49408,-0.9983,1
3.86841,0.62394,6.42657,1.31028,10.10785,0.87352,1
4.86676,0.93591,0.99835,0.31197,-5.42822,-0.99831,1
5.5531,0.87352,0.68634,-0.06239,-0.31201,-0.37436,1
0.24957,0.74873,-5.30353,-0.12479,-5.98987,-0.0624,1
2.55817,0.74873,2.30859,0.0,7.61212,0.12479,1
1.49744,0.24958,-1.06073,-0.49915,-3.36932,-0.49915,1
5.49066,-0.87352,3.99323,-1.1231,5.05396,-0.62395,1
10.66937,-2.05901,5.17871,-1.18549,1.18549,-0.06239,1
4.2428,-1.74704,-6.42657,0.31197,-11.60529,1.49746,1
1.62225,-0.74873,-2.62054,0.99831,3.80603,0.68633,1
4.80432,0.31197,3.18207,1.0607,5.80261,0.06239,1
6.86334,0.18718,2.05902,-0.12479,-1.12305,-1.18549,1
4.42999,-0.56155,-2.43335,-0.74873,-4.49237,-0.62394,1
-1.06073,-0.06239,-5.49072,0.49915,-3.05737,1.24788,1
-0.37439,0.68634,0.68634,0.74873,6.17706,0.24958,1
4.0556,0.68634,4.42999,0.0,3.74365,-0.74873,1
4.92914,1.18549,0.87354,0.49915,-3.55646,0.49915,1
3.05731,0.99831,-1.87183,-0.18718,-2.74536,-0.68634,1
3.80603,0.68634,0.74872,-0.31197,2.62054,-0.12479,1
8.79755,-1.49746,4.99152,-2.1838,4.2428,-1.87183,1
-1.3103,-1.49746,-10.10785,0.0,-15.09937,2.1838,1
11.79248,-1.74704,13.10278,-0.24958,23.21063,-0.24958,1
5.11633,0.93591,-6.67615,2.68295,-19.77893,2.93253,1
3.11969,0.62394,-1.99664,-0.31197,4.6795,-2.99492,1
0.62396,1.93422,-2.49573,1.31028,-0.49908,1.62225,1
3.99323,2.05901,3.36926,0.12479,5.86499,-1.18549,1
6.92572,2.74534,2.9325,0.68634,-0.43677,0.56155,1
12.10449,2.93253,5.17877,0.18718,2.24628,-0.49915,1
-4.55475,1.87183,-16.65924,-1.0607,-21.83801,-1.24788,1
2.43335,1.37267,6.9881,-0.49915,23.64734,0.56155,1
12.04205,1.80943,9.6087,0.43676,2.62061,0.93591,1
3.68127,-1.31028,-8.36078,-3.11971,-17.96948,-3.55646,1
7.61206,-2.05901,3.93079,-0.74873,12.29156,2.37098,1
-0.62396,0.68634,-8.23602,2.74534,-12.16681,3.49407,1
-0.87354,1.68464,-0.24957,0.99831,7.98645,-1.74704,1
-1.62225,1.99661,-0.74872,0.31197,-0.49915,-0.68634,1
4.92914,2.62055,6.55139,0.62394,7.30011,0.31197,1
0.87354,2.80774,-4.0556,0.18718,-10.60699,-0.43676,1
-3.74365,2.43337,-4.61719,-0.37436,-0.56158,-0.56155,1
0.12482,2.43337,3.86847,0.0,8.48566,0.37436,1
-3.4317,2.1838,-3.55652,-0.24958,-7.42499,-0.24958,1
12.66602,3.2445,16.09772,1.0607,19.65424,1.31028,1
18.53107,2.80774,5.86505,-0.43676,-10.23267,-1.49746,1
2.37097,-1.43507,-16.1601,-4.2428,-22.02515,-3.80604,1
2.74536,-2.87013,0.37439,-1.43507,16.53448,2.80774,1
-0.12482,-0.68634,-2.87018,2.1838,-3.24457,3.61886,1
10.04547,-1.1231,10.17029,-0.43676,13.04047,-2.62056,1
4.92914,-0.81112,-5.11633,0.31197,-15.28662,0.74873,1
3.74365,0.68634,-1.18549,1.49746,3.93085,1.18549,1
2.99493,0.87352,-0.74872,0.18718,0.43677,-1.31028,1
4.0556,0.68634,1.06067,-0.18718,1.80939,-0.37437,1
5.61548,1.55985,1.55988,0.87352,0.49921,1.0607,1
9.10956,1.93422,3.49408,0.37437,1.9342,-0.49915,1
8.92236,1.68464,-0.18719,-0.24958,-3.68127,-0.62394,1
0.93591,-1.0607,-7.98645,-2.74534,-7.79926,-2.49577,1
2.62054,-3.93083,1.68463,-2.87013,9.67108,-0.12479,1
4.30518,-4.18041,1.68463,-0.24958,0.0,2.62056,1
2.43335,-3.86843,-1.87183,0.31197,-3.55646,0.56155,1
-0.99829,-2.74534,-3.43164,1.12309,-1.55981,0.81112,1
-5.05396,-2.37098,-4.05566,0.37437,-0.62402,-0.74873,1
-0.12482,-1.24788,4.92914,1.12309,8.9848,0.74873,1
1.87183,-0.62394,1.99664,0.62394,-2.9325,-0.49915,1
0.0,-0.74873,-1.87183,-0.12479,-3.86847,-0.74873,1
-1.12311,-0.06239,-1.12311,0.68634,0.74872,0.81112,1
0.24957,-0.74873,1.37268,-0.68634,2.49579,-1.37267,1
-6.11462,-1.12309,-6.3642,-0.37436,-7.73688,0.31197,1
0.74872,-1.80943,6.86334,-0.68634,13.22754,-0.31197,1
0.12482,-3.1821,-0.6239,-1.37267,-7.48724,-0.68634,1
-2.43335,-3.2445,-2.55817,-0.06239,-1.93427,1.31028,1
-2.05902,-1.43507,0.37433,1.80943,2.9325,1.87182,1
-4.42999,-1.12309,-2.37097,0.31197,-2.7453,-1.49746,1
2.37097,-0.68633,6.80096,0.43676,9.17194,0.12479,1
3.93085,0.62394,1.55988,1.31028,-5.24109,0.87352,1
-0.99829,0.68633,-4.92914,0.06239,-6.48901,-1.24788,1
-4.61719,-0.74873,-3.6189,-1.43506,1.31024,-1.49746,1
0.24957,0.74873,4.86676,1.49746,8.48566,2.93252,1
6.55139,1.24788,6.30182,0.49915,1.43506,-0.99831,1
-7.30011,1.24788,-13.8515,0.0,-20.15332,-0.49915,1
-1.68463,-0.68634,5.61548,-1.93422,19.46698,-1.93422,1
-2.1214,-1.80943,-0.43677,-1.12309,-6.05225,0.81113,1
-6.55139,-2.68295,-4.42999,-0.87352,-3.99323,0.24957,1
-4.49237,-0.81112,2.05902,1.87183,6.48901,2.74535,1
-2.80774,1.68464,1.68463,2.49577,-0.37439,0.62394,1
-13.16516,3.30689,-10.35742,1.62225,-12.04205,-0.87352,1
-24.33374,6.48899,-11.16858,3.1821,-0.81116,1.55986,1
-28.70129,7.23772,-4.36755,0.74873,6.80103,-2.43337,1
-2.99493,3.68126,25.70636,-3.55647,30.07391,-4.30519,1
6.48901,4.49238,9.48395,0.81112,-16.22241,4.36759,1
-2.37097,3.74365,-8.85999,-0.74873,-18.34393,-1.55985,1
-4.18042,2.62055,-1.80945,-1.1231,7.05054,-0.37437,1
-0.06238,0.74873,4.11804,-1.87182,5.92749,-0.74873,1
3.4317,-1.80943,3.49408,-2.55816,-0.62396,-0.68634,1
5.86505,-3.11971,2.43335,-1.31028,-1.06073,1.24788,1
3.11969,0.87352,-2.74536,3.99323,-5.17871,5.3035,1
0.31195,2.62055,-2.80774,1.74703,-0.06238,-2.24619,1
8.92236,3.68126,8.61041,1.0607,11.41815,-0.68633,1
55.5932,7.4249,46.67084,3.74364,38.06042,2.68294,1
3.74365,3.05731,-51.84955,-4.36759,-98.52039,-8.11123,1
-0.12482,2.49577,-3.86847,-0.56155,47.98108,3.80604,1
-52.97266,7.17532,-52.84784,4.67956,-48.97937,5.2411,1
-57.02826,-0.56155,-4.0556,-7.73687,48.79224,-12.41643,1
-54.96924,-6.4266,2.05902,-5.86505,6.11462,1.87182,1
0.74872,-1.43507,55.71796,4.99153,53.65894,10.85658,1
-5.24109,-4.11801,-5.98981,-2.68295,-61.70776,-7.67448,1
-5.67786,-5.42829,-0.43677,-1.31028,5.55304,1.37267,1
1.12311,-2.62055,6.80096,2.80774,7.23773,4.11802,1
9.10956,-0.87352,7.98645,1.74703,1.18549,-1.06071,1
9.85828,1.80943,0.74872,2.68295,-7.23773,0.93592,1
-6.11462,0.87352,-15.9729,-0.93591,-16.72162,-3.61886,1
-9.04718,-1.68464,-2.93256,-2.55816,13.04034,-1.62225,1
-3.11969,-2.49577,5.92749,-0.81112,8.86005,1.74704,1
-2.43335,-1.74704,0.68634,0.74873,-5.24115,1.55985,1
4.2428,-0.93591,6.67615,0.81112,5.98981,0.06239,1
6.05225,0.93591,1.80945,1.87183,-4.8667,1.0607,1
0.8111,-0.68634,-5.24115,-1.62225,-7.0506,-3.49408,1
-6.11462,-1.80943,-6.92572,-1.12309,-1.68457,0.49916,1
5.11633,-2.1214,11.23096,-0.31197,18.15668,0.81112,1
11.85486,1.74704,6.73853,3.86843,-4.49243,4.1804,1
7.6745,1.62225,-4.18036,-0.12479,-10.91888,-3.99322,1
8.67279,1.87183,0.99829,0.24958,5.17865,0.37436,1
12.41644,2.80774,3.74365,0.93591,2.74536,0.68633,1
16.72162,2.55816,4.30518,-0.24958,0.56152,-1.18549,1
15.91052,2.68295,-0.8111,0.12479,-5.11627,0.37437,1
5.11633,0.99831,-10.79419,-1.68464,-9.98309,-1.80943,1
5.67786,-0.87352,0.56152,-1.87183,11.35571,-0.18718,1
7.61206,-1.49746,1.9342,-0.62394,1.37268,1.24789,1
-5.24109,-2.62055,-12.85315,-1.12309,-14.78735,-0.49915,1
8.67279,-5.17871,13.91388,-2.55816,26.76703,-1.43507,1
1.87183,-5.49068,-6.80096,-0.31197,-20.71484,2.24619,1
-7.79926,-2.87013,-9.67108,2.62056,-2.87012,2.93253,1
-9.67108,-1.74704,-1.87183,1.12309,7.79926,-1.49746,1
-7.17535,1.0607,2.49573,2.80774,4.36755,1.68464,1
-10.17023,2.49577,-2.99487,1.43507,-5.4906,-1.37267,1
-15.34894,3.55647,-5.17871,1.0607,-2.18384,-0.37437,1
-20.83966,3.43168,-5.49072,-0.12479,-0.31201,-1.18549,1
-14.97461,2.1214,5.86505,-1.31028,11.35577,-1.18549,1
-3.18213,-0.74873,11.79248,-2.87013,5.92743,-1.55986,1
-10.17023,-2.30858,-6.9881,-1.55985,-18.78058,1.31028,1
-6.05225,-2.80774,4.11798,-0.49915,11.10608,1.0607,1
-4.61719,-4.18041,1.43506,-1.37267,-2.68292,-0.87352,1
-2.87012,-4.18041,1.74707,0.0,0.31201,1.37267,1
